"","time","preddate","airT_mean","airT_upperconf","airT_lowerconf"
"1",2020-10-01 00:00:00,"2020-10-01",28.1858266194661,28.1879849530816,28.1836682858507
"2",2020-10-01 01:00:00,"2020-10-01",28.1908949788411,28.1939853557513,28.187804601931
"3",2020-10-01 02:00:00,"2020-10-01",28.1874225870768,28.19171954515,28.1831256290036
"4",2020-10-01 03:00:00,"2020-10-01",28.1771524047852,28.1823541467585,28.1719506628118
"5",2020-10-01 04:00:00,"2020-10-01",28.1618269856771,28.167641373023,28.1560125983311
"6",2020-10-01 05:00:00,"2020-10-01",28.1431892903646,28.1494314536545,28.1369471270747
"7",2020-10-01 06:00:00,"2020-10-01",28.1229823811849,28.1295924732279,28.1163722891419
"8",2020-10-01 07:00:00,"2020-10-01",28.1039270019531,28.1109462044722,28.096907799434
"9",2020-10-01 08:00:00,"2020-10-01",28.0926540120443,28.1001316158788,28.0851764082097
"10",2020-10-01 09:00:00,"2020-10-01",28.0967735799154,28.104665020706,28.0888821391247
"11",2020-10-01 10:00:00,"2020-10-01",28.1238950602214,28.1320085648123,28.1157815556304
"12",2020-10-01 11:00:00,"2020-10-01",28.1816278076172,28.1896278114822,28.1736278037522
"13",2020-10-01 12:00:00,"2020-10-01",28.2775813802083,28.2850640348464,28.2700987255702
"14",2020-10-01 13:00:00,"2020-10-01",28.4144764200846,28.421244295819,28.4077085443502
"15",2020-10-01 14:00:00,"2020-10-01",28.5754780069987,28.5820476429999,28.5689083709975
"16",2020-10-01 15:00:00,"2020-10-01",28.7388624064128,28.7463156122698,28.7314092005557
"17",2020-10-01 16:00:00,"2020-10-01",28.8829061889648,28.8920825517074,28.8737298262223
"18",2020-10-01 17:00:00,"2020-10-01",28.985885925293,28.9969892710677,28.9747825795182
"19",2020-10-01 18:00:00,"2020-10-01",29.0260780843099,29.038781680296,29.0133744883238
"20",2020-10-01 19:00:00,"2020-10-01",28.9888793945312,29.0025598346725,28.97519895439
